item_id,item_name,category,sub_category,quantity,unit,unit_price,reorder_level,reorder_quantity,last_order_date,location,supplier,storage_condition,expiry_date,quality_grade
INV039,Lace - Cotton Trim,raw_material,lace,800,meters,1.20,200,300,2026-06-28,Material Room,LaceMakers Pvt Ltd,room_temperature,2027-06-30,A
INV040,Lace - Silk Trim,raw_material,lace,350,meters,2.50,100,150,2026-06-29,Material Room,LaceMakers Pvt Ltd,room_temperature,2027-06-30,A+
INV041,Labels - Custom Branded,packaging,label,2500,pieces,0.30,500,800,2026-07-01,Packaging Room,BrandPrint India,room_temperature,2027-12-31,A
INV042,Labels - Care Instructions,packaging,label,3000,pieces,0.15,600,1000,2026-07-01,Packaging Room,BrandPrint India,room_temperature,2027-12-31,A
INV043,Hangers - Plastic,packaging,hanger,600,pieces,0.80,150,250,2026-07-02,Packaging Room,DisplayMasters,room_temperature,2027-12-31,A
INV044,Tissue Paper - White,packaging,paper,1000,sheets,0.10,300,500,2026-07-02,Packaging Room,EcoPaper Co,room_temperature,2027-12-31,A
INV045,Gift Bags - Small,packaging,bag,300,pieces,1.50,80,150,2026-07-03,Packaging Room,GiftWrap India,room_temperature,2027-12-31,A
INV046,Saree Covers - Velvet,packaging,cover,200,pieces,3.00,50,100,2026-07-03,Packaging Room,LuxuryCovers,room_temperature,2027-12-31,A+
INV047,Packing Tape,packaging,tape,150,rolls,1.20,40,60,2026-07-04,Packaging Room,SecurePack,room_temperature,2027-12-31,A
INV048,Stitching Machine Oil,material,oil,25,l,4.50,10,15,2026-06-25,Maintenance Room,Industrial Supplies,room_temperature,2026-12-31,A
INV049,Spare Needles - Standard,material,needle,800,pack,0.50,200,300,2026-06-26,Maintenance Room,Industrial Supplies,room_temperature,2027-12-31,A
INV050,Spare Needles - Heavy,material,needle,400,pack,0.80,100,150,2026-06-26,Maintenance Room,Industrial Supplies,room_temperature,2027-12-31,A
